book_id,positive,negative
1,68.50393700787401,31.496062992125985
101,61.68122270742358,38.318777292576414
102,64.0410160801678,35.95898391983221
105,78.19513715710723,21.804862842892767
106,59.166365932876225,40.83363406712378
107,68.65586814435919,31.344131855640804
108,65.92089916233697,34.07910083766302
11,74.00194741966894,25.998052580331063
110,73.41664541358497,26.58335458641503
113,76.62259615384616,23.377403846153843
119,67.34979423868313,32.65020576131687
12,75.64853556485356,24.351464435146443
120,66.04693140794224,33.95306859205776
121,75.57909858143293,24.420901418567066
122,72.24211423699914,27.757885763000854
123,66.01541001651074,33.98458998348927
124,67.94835812517542,32.05164187482458
126,69.56521739130436,30.434782608695652
128,70.90526781761841,29.094732182381584
130,66.34557495484648,33.65442504515353
131,64.85073000653738,35.14926999346263
134,67.65490661132523,32.345093388674776
139,66.274217585693,33.725782414307005
140,62.09924965893587,37.900750341064125
141,75.44743232305063,24.55256767694937
142,70.5540206485386,29.445979351461393
143,69.1105007394887,30.889499260511307
144,73.77486865903022,26.225131340969767
146,70.81081081081082,29.18918918918919
147,65.49497847919656,34.505021520803446
148,74.364896073903,25.635103926096996
149,63.023743016759774,36.97625698324022
150,67.95375722543353,32.04624277456647
153,68.743671625516,31.256328374483992
154,76.57458563535911,23.425414364640883
155,67.01249848319378,32.98750151680621
157,81.21452894438139,18.785471055618615
158,77.81366882012921,22.18633117987079
159,57.19965918773076,42.80034081226924
16,68.20836253211866,31.791637467881337
160,78.66643021812378,21.33356978187622
161,75.91217307071359,24.087826929286408
163,85.43927196359819,14.56072803640182
164,68.6192468619247,31.380753138075313
165,67.46225036531905,32.53774963468096
166,73.56613756613757,26.433862433862434
170,68.96367521367522,31.036324786324787
171,71.17468573905505,28.82531426094495
173,61.59354052407068,38.40645947592932
174,68.4054054054054,31.59459459459459
175,66.5355398806294,33.46446011937059
177,72.1881390593047,27.811860940695297
1777,61.60220994475138,38.39779005524862
18,56.9284064665127,43.0715935334873
19,68.47444401092469,31.525555989075304
20,57.0480928689884,42.95190713101161
201,75.29137529137529,24.708624708624708
21,63.19350473612991,36.8064952638701
23,62.17273547998796,37.82726452001204
24,73.77343438372557,26.226565616274435
26,56.03788476716653,43.96211523283347
27,69.20987654320987,30.790123456790123
28,0.0,0.0
31,56.09529702970297,43.90470297029704
32,77.71563777156378,22.284362228436223
33,68.40530141085934,31.59469858914066
35,68.69718309859154,31.302816901408452
36,61.9848975188781,38.0151024811219
41,73.92373923739238,26.076260762607625
42,64.05574243152331,35.944257568476694
43,64.15535797847448,35.8446420215255
45,76.5829815596534,23.417018440346588
46,70.2672186676703,29.732781332329697
47,76.68494820231567,23.315051797684337
51,72.56013270666297,27.43986729333702
54,72.23230490018149,27.76769509981851
55,72.54476397178513,27.455236028214866
58,69.73113616652212,30.26886383347788
59,82.50460405156538,17.495395948434624
60,66.54470949802429,33.4552905019757
61,61.60815402038506,38.391845979614956
62,63.54825115887063,36.45174884112937
64,63.40237587572343,36.59762412427658
68,60.12169435993447,39.87830564006553
70,70.3132895401718,29.6867104598282
71,61.864406779661024,38.135593220338976
72,60.19417475728156,39.80582524271845
73,58.108108108108105,41.891891891891895
74,60.62222222222222,39.37777777777778
76,63.397012000979664,36.60298799902033
77,68.92216253286091,31.0778374671391
78,63.24269889224572,36.75730110775428
81,64.38131658016935,35.618683419830646
83,67.42238825196446,32.57761174803556
84,63.93771973882471,36.06228026117529
85,62.73802365203448,37.26197634796553
90,62.890378050322425,37.10962194967758
92,58.3398285268901,41.6601714731099
95,68.68485251718784,31.315147482812154
96,60.44006417602568,39.55993582397433
97,69.07679738562092,30.923202614379086
98,63.94814269952189,36.05185730047812
